com.generagames.resistance,Cover Fire: Offline Shooting,GAME_ACTION,100000000,2515484,4.62,Free,0.113,0.275
com.eterno,Dailyhunt Xpresso News Cricket,NEWS_AND_MAGAZINES,100000000,2516129,4.45,Free,0.654,1.472
me.zepeto.main,"ZEPETO: Avatar, Connect & Play",ENTERTAINMENT,100000000,2525425,4.37,Free,0.593,1.187
jp.ne.ibis.ibispaintx.app,ibis Paint X,ART_AND_DESIGN,100000000,2526648,4.37,Free,0.941,1.883
com.emoji.coolkeyboard,"Emoji keyboard - Themes, Fonts",TOOLS,100000000,2544974,4.58,Free,0.0,0.001
com.touchtao.soccerkinggoogle,World Soccer League,GAME_SPORTS,100000000,2567617,4.26,Free,0.01,0.02
com.cricbuzz.android,Cricbuzz - Live Cricket Scores,SPORTS,100000000,2533492,4.34,Free,1.856,4.211
tunein.player,TuneIn Radio: Music & Sports,MUSIC_AND_AUDIO,100000000,2576723,4.69,Free,0.382,0.838
com.fungames.flightpilot,Flight Pilot: 3D Simulator,GAME_ROLE_PLAYING,100000000,2694540,4.18,Free,0.003,0.006
com.vectorunit.purple.googleplay,Beach Buggy Racing,GAME_RACING,100000000,2691172,4.47,Free,0.242,0.597
com.fungames.blockcraft,Block Craft 3D：Building Game,GAME_ARCADE,100000000,2603727,4.25,Free,0.061,0.123
com.accuweather.android,AccuWeather: Weather Radar,WEATHER,100000000,2572405,3.56,Free,0.009,0.018
com.ea.gp.nbamobile,NBA LIVE Mobile Basketball,GAME_SPORTS,100000000,2607988,4.2,Free,0.1,0.217
com.dubox.drive,TeraBox: Cloud Storage Space,TOOLS,100000000,2731102,4.52,Free,2.119,4.274
com.alibaba.intl.android.apps.poseidon,Alibaba.com - B2B marketplace,SHOPPING,100000000,2535353,4.45,Free,1.154,2.37
com.playmini.miniworld,Mini World: CREATA,GAME_ADVENTURE,100000000,2606462,4.11,Free,0.008,0.016
cris.org.in.prs.ima,IRCTC Rail Connect,TRAVEL_AND_LOCAL,100000000,2619928,3.65,Free,0.109,0.279
jp.garud.ssimulator,SAKURA School Simulator,GAME_SIMULATION,100000000,2851436,4.24,Free,0.563,1.126
com.neptune.domino,Higgs Domino Island,GAME_BOARD,50000000,4721347,3.92,Free,0.103,0.157
com.mojang.minecraftpe,Minecraft,GAME_ARCADE,50000000,4977086,4.46,$1.99,0.192,0.383
com.naturalmotion.customstreetracer2,CSR 2 Realistic Drag Racing,GAME_RACING,50000000,5020024,4.6,Free,0.108,0.216
com.jb.gokeyboard,GO Keyboard Lite - Many Theme,PERSONALIZATION,100000000,2623042,4.43,Free,0.052,0.105
com.piriform.ccleaner,CCleaner – Phone Cleaner,TOOLS,100000000,2710077,4.52,Free,0.547,1.476
com.superking.parchisi.star,Parchisi STAR Online,GAME_BOARD,100000000,2810660,4.41,Free,0.315,0.809
com.adobe.lrmobile,Lightroom Photo & Video Editor,PHOTOGRAPHY,100000000,2669771,4.58,Free,2.019,4.432
br.gov.serpro.cnhe,Carteira Digital de Trânsito,TOOLS,50000000,4736078,4.76,Free,2.254,4.693
com.taxis99,99 - Private Driver and Taxi,MAPS_AND_NAVIGATION,100000000,2630037,4.14,Free,0.535,1.164
fb.video.downloader,FastVid: Download for Facebook,TOOLS,100000000,3101675,4.15,Free,0.302,0.605
com.olx.southasia,OLX: Buy & Sell Near You,SHOPPING,100000000,2916162,4.26,Free,0.332,0.686
com.outfit7.movingeye.swampattack,Swamp Attack,GAME_ACTION,100000000,2644372,4.51,Free,0.009,0.018
com.yandex.browser,Yandex Browser with Protect,PERSONALIZATION,100000000,2611217,4.38,Free,0.407,1.037
com.rsupport.mvagent,Mobizen Screen Recorder,PRODUCTIVITY,100000000,3325320,4.22,Free,0.005,0.01
com.avito.android,"Авито: квартиры, авто, работа",SHOPPING,100000000,3125441,3.49,Free,0.489,0.956
io.wifimap.wifimap,"WiFi Map®: Internet, eSIM, VPN",PRODUCTIVITY,100000000,2846358,4.46,Free,0.148,0.296
com.jb.gosms,"GO SMS Pro - Messenger, Free T",COMMUNICATION,100000000,2929758,4.25,Free,0.0,0.0
com.csam.icici.bank.imobile,"iMobile Pay: Loan, Banking App",FINANCE,50000000,5615215,4.37,Free,1.067,2.27
com.topfreegames.bikeracefreeworld,Bike Race：Motorcycle Games,GAME_RACING,100000000,3100970,4.48,Free,0.005,0.011
com.taxsee.taxsee,"maxim — order taxi, food",AUTO_AND_VEHICLES,50000000,5154703,4.6,Free,2.129,4.771
app.source.getcontact,Getcontact,COMMUNICATION,100000000,3213643,3.92,Free,1.452,2.702
com.halo.wifikey.wifilocating,WiFi Master: WiFi Auto Connect,TOOLS,100000000,3257947,4.35,Free,0.074,0.202
deezer.android.app,Deezer: Music & Podcast Player,MUSIC_AND_AUDIO,100000000,3367409,4.31,Free,0.346,0.836
photoeditor.layout.collagemaker,Collage Maker | Photo Editor,PHOTOGRAPHY,100000000,3135736,4.92,Free,0.9,1.995
com.FDGEntertainment.redball4.gp,Red Ball 4,GAME_ARCADE,100000000,3111037,4.58,Free,0.715,1.431
free.tube.premium.advanced.tuber,Pure Tuber: Video & MP3 Player,VIDEO_PLAYERS,100000000,2828145,3.98,Free,0.683,1.367
com.instabridge.android,Instabridge: WiFi Map,PRODUCTIVITY,100000000,2687000,4.19,Free,4.533,9.458
com.microblink.photomath,Photomath,EDUCATION,100000000,3041034,4.44,Free,0.105,0.21
com.sandboxol.blockymods,Blockman Go,GAME_ARCADE,100000000,2753132,4.24,Free,0.005,0.01
com.amazon.mp3,Amazon Music: Songs & Podcasts,MUSIC_AND_AUDIO,100000000,3107302,3.28,Free,0.231,0.507
com.pandora.android,Pandora - Music & Podcasts,MUSIC_AND_AUDIO,100000000,3402808,3.98,Free,0.019,0.038
com.midasplayer.apps.bubblewitchsaga2,Bubble Witch 2 Saga,GAME_CASUAL,100000000,2987256,4.62,Free,0.004,0.008
com.joeware.android.gpulumera,Candy Camera - photo editor,PHOTOGRAPHY,100000000,3486399,4.48,Free,40.27,80.54
com.zeptolab.ctr.ads,Cut the Rope,GAME_PUZZLE,100000000,2749467,4.48,Free,0.015,0.031
com.gameloft.android.ANMP.GloftA9HM,Asphalt 9: Legends,GAME_RACING,100000000,2763119,4.46,Free,0.065,0.129
com.creativemobile.DragRacing,Drag Racing,GAME_RACING,100000000,2682684,4.36,Free,7.575,15.15
com.gameloft.android.ANMP.GloftDOHM,Dragon Mania Legends,GAME_ADVENTURE,100000000,2998514,4.44,Free,0.001,0.002
com.global.foodpanda.android,foodpanda: food & groceries,FOOD_AND_DRINK,100000000,3251949,4.02,Free,0.475,0.986
com.miniclip.plagueinc,Plague Inc.,GAME_SIMULATION,100000000,3874741,4.68,Free,0.049,0.097
com.dywx.larkplayer,Lark Player:Music Player & MP3,MUSIC_AND_AUDIO,100000000,3897388,4.5,Free,1.413,2.782
com.kakao.talk,KakaoTalk : Messenger,COMMUNICATION,100000000,3167386,4.14,Free,0.023,0.045
com.king.bubblewitch3,Bubble Witch 3 Saga,GAME_PUZZLE,100000000,2691223,4.65,Free,0.033,0.065
ru.ok.android,OK: Social Network,SOCIAL,100000000,2714503,4.01,Free,0.057,0.132
com.digidust.elokence.akinator.freemium,Akinator,ENTERTAINMENT,100000000,4490832,4.63,Free,0.473,1.112
com.adobe.scan.android,"Adobe Scan: PDF Scanner, OCR",BUSINESS,100000000,2745996,4.75,Free,0.66,1.287
com.intsig.camscanner,CamScanner - PDF Scanner App,PRODUCTIVITY,100000000,4664612,4.8,Free,0.351,0.759
co.brainly,Brainly: AI Homework Helper,EDUCATION,100000000,3716532,4.43,Free,2.581,5.819
com.kabam.marvelbattle,Marvel Contest of Champions,GAME_ACTION,100000000,3204819,4.26,Free,0.003,0.006
ru.mail.mailapp,Mail.ru - Email App,COMMUNICATION,100000000,3146542,4.63,Free,1.183,2.98
com.disney.disneyplus,Disney+,ENTERTAINMENT,100000000,3912860,4.41,Free,1.118,2.82
com.popularapp.periodcalendar,Period Calendar Period Tracker,HEALTH_AND_FITNESS,100000000,4558541,4.88,Free,0.236,0.556
com.starmakerinteractive.starmaker,StarMaker: Sing Karaoke Songs,MUSIC_AND_AUDIO,100000000,3609662,4.34,Free,0.501,1.003
com.nekki.vector,Vector,GAME_ARCADE,100000000,3672025,4.34,Free,0.079,0.335
com.dvloper.granny,Granny,GAME_ARCADE,100000000,4057596,4.26,Free,0.394,0.808
